Pos,Pld,W,L,PCT,SEAS
4,2,1,1,0.5,82
1,14,12,2,0.857142857,81
3,14,9,5,0.642857143,80
1,14,12,2,0.857142857,79
1,14,12,2,0.857142857,78
1,14,14,0,1,77
3,14,10,4,0.714285714,76
2,14,10,4,0.714285714,75
2,14,11,3,0.785714286,74
4,14,8,6,0.571428571,73
4,14,8,6,0.571428571,72
3,14,9,5,0.642857143,71
4,14,8,6,0.571428571,70
